GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than high school diploma,Margin of Error; Male: - Less than high school diploma,Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),Estimate; Male: - Some college or associate's degree,Margin of Error; Male: - Some college or associate's degree,Estimate; Male: - Bachelor's degree or higher,Margin of Error; Male: - Bachelor's degree or higher,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than high school diploma,Margin of Error; Female: - Less than high school diploma,Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),Estimate; Female: - Some college or associate's degree,Margin of Error; Female: - Some college or associate's degree,Estimate; Female: - Bachelor's degree or higher,Margin of Error; Female: - Bachelor's degree or higher
0100000US,,United States,160162718,32560,77741460,19017,9539381,47668,22130352,71148,21969727,32327,24102000,109329,82421258,17919,9084584,45732,23325247,61674,25126302,25986,24885125,105652
