GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 5 to 17 years:,Margin of Error; 5 to 17 years:,Estimate; 5 to 17 years: - Speak only English,Margin of Error; 5 to 17 years: - Speak only English,Estimate; 5 to 17 years: - Speak Spanish,Margin of Error; 5 to 17 years: - Speak Spanish,Estimate; 5 to 17 years: - Speak other Indo-European languages,Margin of Error; 5 to 17 years: - Speak other Indo-European languages,Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages,Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages,Estimate; 5 to 17 years: - Speak other languages,Margin of Error; 5 to 17 years: - Speak other languages,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - Speak only English,Margin of Error; 18 to 64 years: - Speak only English,Estimate; 18 to 64 years: - Speak Spanish,Margin of Error; 18 to 64 years: - Speak Spanish,Estimate; 18 to 64 years: - Speak other Indo-European languages,Margin of Error; 18 to 64 years: - Speak other Indo-European languages,Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages,Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages,Estimate; 18 to 64 years: - Speak other languages,Margin of Error; 18 to 64 years: - Speak other languages,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - Speak only English,Margin of Error; 65 years and over: - Speak only English,Estimate; 65 years and over: - Speak Spanish,Margin of Error; 65 years and over: - Speak Spanish,Estimate; 65 years and over: - Speak other Indo-European languages,Margin of Error; 65 years and over: - Speak other Indo-European languages,Estimate; 65 years and over: - Speak Asian and Pacific Island languages,Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages,Estimate; 65 years and over: - Speak other languages,Margin of Error; 65 years and over: - Speak other languages
0100000US,,United States,294133373,3687,53803947,6375,42035273,32783,8450641,26243,1534406,11321,1300066,8701,483561,7606,197151465,5685,153764506,80774,26761672,47815,7379547,29152,7246765,17820,1998975,14775,43177961,4698,36924424,19856,2886385,6879,1892540,11682,1229800,5110,244812,3543
