GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Aggregate income deficit in the past 12 months of unrelated individuals (dollars):
HD02_VD01,Margin of Error; Aggregate income deficit in the past 12 months of unrelated individuals (dollars):
HD01_VD02,Estimate; Aggregate income deficit in the past 12 months of unrelated individuals (dollars): - Male (dollars)
HD02_VD02,Margin of Error; Aggregate income deficit in the past 12 months of unrelated individuals (dollars): - Male (dollars)
HD01_VD03,Estimate; Aggregate income deficit in the past 12 months of unrelated individuals (dollars): - Female (dollars)
HD02_VD03,Margin of Error; Aggregate income deficit in the past 12 months of unrelated individuals (dollars): - Female (dollars)
