GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Entered 2010 or later
HD02_VD02,Margin of Error; Entered 2010 or later
HD01_VD03,Estimate; Entered 2010 or later - Native
HD02_VD03,Margin of Error; Entered 2010 or later - Native
HD01_VD04,Estimate; Entered 2010 or later - Foreign born:
HD02_VD04,Margin of Error; Entered 2010 or later - Foreign born:
HD01_VD05,Estimate; Entered 2010 or later - Foreign born: - Naturalized U.S. citizen
HD02_VD05,Margin of Error; Entered 2010 or later - Foreign born: - Naturalized U.S. citizen
HD01_VD06,Estimate; Entered 2010 or later - Foreign born: - Not a U.S. citizen
HD02_VD06,Margin of Error; Entered 2010 or later - Foreign born: - Not a U.S. citizen
HD01_VD07,Estimate; Entered 2000 to 2009
HD02_VD07,Margin of Error; Entered 2000 to 2009
HD01_VD08,Estimate; Entered 2000 to 2009 - Native
HD02_VD08,Margin of Error; Entered 2000 to 2009 - Native
HD01_VD09,Estimate; Entered 2000 to 2009 - Foreign born:
HD02_VD09,Margin of Error; Entered 2000 to 2009 - Foreign born:
HD01_VD10,Estimate; Entered 2000 to 2009 - Foreign born: - Naturalized U.S. citizen
HD02_VD10,Margin of Error; Entered 2000 to 2009 - Foreign born: - Naturalized U.S. citizen
HD01_VD11,Estimate; Entered 2000 to 2009 - Foreign born: - Not a U.S. citizen
HD02_VD11,Margin of Error; Entered 2000 to 2009 - Foreign born: - Not a U.S. citizen
HD01_VD12,Estimate; Entered 1990 to 1999:
HD02_VD12,Margin of Error; Entered 1990 to 1999:
HD01_VD13,Estimate; Entered 1990 to 1999: - Native
HD02_VD13,Margin of Error; Entered 1990 to 1999: - Native
HD01_VD14,Estimate; Entered 1990 to 1999: - Foreign born:
HD02_VD14,Margin of Error; Entered 1990 to 1999: - Foreign born:
HD01_VD15,Estimate; Entered 1990 to 1999: - Foreign born: - Naturalized U.S. citizen
HD02_VD15,Margin of Error; Entered 1990 to 1999: - Foreign born: - Naturalized U.S. citizen
HD01_VD16,Estimate; Entered 1990 to 1999: - Foreign born: - Not a U.S. citizen
HD02_VD16,Margin of Error; Entered 1990 to 1999: - Foreign born: - Not a U.S. citizen
HD01_VD17,Estimate; Entered before 1990:
HD02_VD17,Margin of Error; Entered before 1990:
HD01_VD18,Estimate; Entered before 1990: - Native
HD02_VD18,Margin of Error; Entered before 1990: - Native
HD01_VD19,Estimate; Entered before 1990: - Foreign born:
HD02_VD19,Margin of Error; Entered before 1990: - Foreign born:
HD01_VD20,Estimate; Entered before 1990: - Foreign born: - Naturalized U.S. citizen
HD02_VD20,Margin of Error; Entered before 1990: - Foreign born: - Naturalized U.S. citizen
HD01_VD21,Estimate; Entered before 1990: - Foreign born: - Not a U.S. citizen
HD02_VD21,Margin of Error; Entered before 1990: - Foreign born: - Not a U.S. citizen
