GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Entered 2010 or later,Margin of Error; Entered 2010 or later,Estimate; Entered 2010 or later - Native,Margin of Error; Entered 2010 or later - Native,Estimate; Entered 2010 or later - Foreign born:,Margin of Error; Entered 2010 or later - Foreign born:,Estimate; Entered 2010 or later - Foreign born: - Naturalized U.S. citizen,Margin of Error; Entered 2010 or later - Foreign born: - Naturalized U.S. citizen,Estimate; Entered 2010 or later - Foreign born: - Not a U.S. citizen,Margin of Error; Entered 2010 or later - Foreign born: - Not a U.S. citizen,Estimate; Entered 2000 to 2009,Margin of Error; Entered 2000 to 2009,Estimate; Entered 2000 to 2009 - Native,Margin of Error; Entered 2000 to 2009 - Native,Estimate; Entered 2000 to 2009 - Foreign born:,Margin of Error; Entered 2000 to 2009 - Foreign born:,Estimate; Entered 2000 to 2009 - Foreign born: - Naturalized U.S. citizen,Margin of Error; Entered 2000 to 2009 - Foreign born: - Naturalized U.S. citizen,Estimate; Entered 2000 to 2009 - Foreign born: - Not a U.S. citizen,Margin of Error; Entered 2000 to 2009 - Foreign born: - Not a U.S. citizen,Estimate; Entered 1990 to 1999:,Margin of Error; Entered 1990 to 1999:,Estimate; Entered 1990 to 1999: - Native,Margin of Error; Entered 1990 to 1999: - Native,Estimate; Entered 1990 to 1999: - Foreign born:,Margin of Error; Entered 1990 to 1999: - Foreign born:,Estimate; Entered 1990 to 1999: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Entered 1990 to 1999: - Foreign born: - Naturalized U.S. citizen,Estimate; Entered 1990 to 1999: - Foreign born: - Not a U.S. citizen,Margin of Error; Entered 1990 to 1999: - Foreign born: - Not a U.S. citizen,Estimate; Entered before 1990:,Margin of Error; Entered before 1990:,Estimate; Entered before 1990: - Native,Margin of Error; Entered before 1990: - Native,Estimate; Entered before 1990: - Foreign born:,Margin of Error; Entered before 1990: - Foreign born:,Estimate; Entered before 1990: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Entered before 1990: - Foreign born: - Naturalized U.S. citizen,Estimate; Entered before 1990: - Foreign born: - Not a U.S. citizen,Margin of Error; Entered before 1990: - Foreign born: - Not a U.S. citizen
0100000US,,United States,45524663,98367,3201612,22147,294915,5745,2906697,20994,153179,3463,2753518,20623,13466874,58413,939963,9010,12526911,58382,2675988,16172,9850923,56547,11451611,40733,812645,8855,10638966,38538,5006914,16914,5632052,36948,17404566,24133,2420255,11884,14984311,24723,10963967,22476,4020344,25370
