GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With earnings,Margin of Error; Total: - With earnings,Estimate; Total: - No earnings,Margin of Error; Total: - No earnings
0100000US,,United States,116211092,230463,90513367,178954,25697725,57866
