GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With Supplemental Security Income (SSI),Margin of Error; Total: - With Supplemental Security Income (SSI),Estimate; Total: - No Supplemental Security Income (SSI),Margin of Error; Total: - No Supplemental Security Income (SSI)
0100000US,,United States,116211092,230463,6160788,18157,110050304,224712
