GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With self-employment income,Margin of Error; Total: - With self-employment income,Estimate; Total: - No self-employment income,Margin of Error; Total: - No self-employment income
0100000US,,United States,116211092,230463,12420964,45156,103790128,191894
