GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 1-person households,Margin of Error; Total: - 1-person households,Estimate; Total: - 2-person households,Margin of Error; Total: - 2-person households,Estimate; Total: - 3-person households,Margin of Error; Total: - 3-person households,Estimate; Total: - 4-person households,Margin of Error; Total: - 4-person households,Estimate; Total: - 5-person households,Margin of Error; Total: - 5-person households,Estimate; Total: - 6-person households,Margin of Error; Total: - 6-person households,Estimate; Total: - 7-or-more-person households,Margin of Error; Total: - 7-or-more-person households
0100000US,,United States,53482,95,28221,51,60213,84,67919,241,78639,345,72410,230,68363,296,70153,316
