GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Native:,Margin of Error; Income in the past 12 months below poverty level: - Native:,Estimate; Income in the past 12 months below poverty level: - Native: - Born in the United States,Margin of Error; Income in the past 12 months below poverty level: - Native: - Born in the United States,Estimate; Income in the past 12 months below poverty level: - Native: - Born outside the United States,Margin of Error; Income in the past 12 months below poverty level: - Native: - Born outside the United States,Estimate; Income in the past 12 months below poverty level: - Foreign born:,Margin of Error; Income in the past 12 months below poverty level: - Foreign born:,Estimate; Income in the past 12 months below poverty level: - Foreign born: - Naturalized citizen,Margin of Error; Income in the past 12 months below poverty level: - Foreign born: - Naturalized citizen,Estimate; Income in the past 12 months below poverty level: - Foreign born: - Not a citizen,Margin of Error; Income in the past 12 months below poverty level: - Foreign born: - Not a citizen,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Native:,Margin of Error; Income in the past 12 months at or above poverty level: - Native:,Estimate; Income in the past 12 months at or above poverty level: - Native: - Born in the United States,Margin of Error; Income in the past 12 months at or above poverty level: - Native: - Born in the United States,Estimate; Income in the past 12 months at or above poverty level: - Native: - Born outside the United States,Margin of Error; Income in the past 12 months at or above poverty level: - Native: - Born outside the United States,Estimate; Income in the past 12 months at or above poverty level: - Foreign born:,Margin of Error; Income in the past 12 months at or above poverty level: - Foreign born:,Estimate; Income in the past 12 months at or above poverty level: - Foreign born: - Naturalized citizen,Margin of Error; Income in the past 12 months at or above poverty level: - Foreign born: - Naturalized citizen,Estimate; Income in the past 12 months at or above poverty level: - Foreign born: - Not a citizen,Margin of Error; Income in the past 12 months at or above poverty level: - Foreign born: - Not a citizen
0100000US,,United States,306226394,13324,47755606,278289,40120254,234471,39339820,230969,780434,9047,7635352,52901,2114242,13181,5521110,48727,258470788,285653,225619599,331326,222048288,322463,3571311,17807,32851189,63201,16508648,32735,16342541,75854
