GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Aggregate income deficit in the past 12 months:,Margin of Error; Aggregate income deficit in the past 12 months:,Estimate; Aggregate income deficit in the past 12 months: - Married-couple family,Margin of Error; Aggregate income deficit in the past 12 months: - Married-couple family,Estimate; Aggregate income deficit in the past 12 months: - Other family:,Margin of Error; Aggregate income deficit in the past 12 months: - Other family:,"Estimate; Aggregate income deficit in the past 12 months: - Other family: - Male householder, no wife present","Margin of Error; Aggregate income deficit in the past 12 months: - Other family: - Male householder, no wife present","Estimate; Aggregate income deficit in the past 12 months: - Other family: - Female householder, no husband present","Margin of Error; Aggregate income deficit in the past 12 months: - Other family: - Female householder, no husband present"
0100000US,,United States,82823368100,333504929,27368178600,151755385,55455189500,279561009,8231998000,98550247,47223191600,236165449
