GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .74,Margin of Error; Total: - .50 to .74,Estimate; Total: - .75 to .99,Margin of Error; Total: - .75 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.74,Margin of Error; Total: - 1.50 to 1.74,Estimate; Total: - 1.75 to 1.84,Margin of Error; Total: - 1.75 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 to 2.99,Margin of Error; Total: - 2.00 to 2.99,Estimate; Total: - 3.00 to 3.99,Margin of Error; Total: - 3.00 to 3.99,Estimate; Total: - 4.00 to 4.99,Margin of Error; Total: - 4.00 to 4.99,Estimate; Total: - 5.00 and over,Margin of Error; Total: - 5.00 and over
0100000US,,United States,76958064,211732,3598681,14723,2452297,12522,2773682,13082,2972291,11238,3176367,14188,3252050,13753,1256867,8090,1943738,8792,12365884,28681,10759172,42535,8516912,45052,23890123,142010
