GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Household received Food Stamps/SNAP in the past 12 months,Margin of Error; Total: - Household received Food Stamps/SNAP in the past 12 months,Estimate; Total: - Household did not receive Food Stamps/SNAP in the past 12 months,Margin of Error; Total: - Household did not receive Food Stamps/SNAP in the past 12 months
0100000US,,United States,14047027,38400,3124598,11856,10922429,37707
