GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - At least one person in household 60 years or over,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - At least one person in household 60 years or over,Estimate; Household received Food Stamps/SNAP in the past 12 months: - No people in household 60 years or over,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - No people in household 60 years or over,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - At least one person in household 60 years or over,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - At least one person in household 60 years or over,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - No people in household 60 years or over,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - No people in household 60 years or over
0100000US,,United States,116211092,230463,15089358,23175,4049312,15064,11040046,27092,101121734,236324,37357375,102067,63764359,137427
