HD02_VD36,Margin of Error; Male: - Wholesale trade: - Recyclable material merchant wholesalers
HD01_VD37,Estimate; Male: - Wholesale trade: - Miscellaneous durable goods merchant wholesalers
HD02_VD37,Margin of Error; Male: - Wholesale trade: - Miscellaneous durable goods merchant wholesalers
HD01_VD38,Estimate; Male: - Wholesale trade: - Paper and paper products merchant wholesalers
HD02_VD38,Margin of Error; Male: - Wholesale trade: - Paper and paper products merchant wholesalers
HD01_VD39,"Estimate; Male: - Wholesale trade: - Drugs, sundries, and chemical and allied products merchant wholesalers"
HD02_VD39,"Margin of Error; Male: - Wholesale trade: - Drugs, sundries, and chemical and allied products merchant wholesalers"
HD01_VD40,"Estimate; Male: - Wholesale trade: - Apparel, piece goods, and notions merchant wholesalers"
HD02_VD40,"Margin of Error; Male: - Wholesale trade: - Apparel, piece goods, and notions merchant wholesalers"
HD01_VD41,Estimate; Male: - Wholesale trade: - Grocery and related product merchant wholesalers
HD02_VD41,Margin of Error; Male: - Wholesale trade: - Grocery and related product merchant wholesalers
HD01_VD42,Estimate; Male: - Wholesale trade: - Farm product raw material merchant wholesalers
HD02_VD42,Margin of Error; Male: - Wholesale trade: - Farm product raw material merchant wholesalers
HD01_VD43,Estimate; Male: - Wholesale trade: - Petroleum and petroleum products merchant wholesalers
HD02_VD43,Margin of Error; Male: - Wholesale trade: - Petroleum and petroleum products merchant wholesalers
HD01_VD44,Estimate; Male: - Wholesale trade: - Alcoholic beverages merchant wholesalers
HD02_VD44,Margin of Error; Male: - Wholesale trade: - Alcoholic beverages merchant wholesalers
HD01_VD45,Estimate; Male: - Wholesale trade: - Farm supplies merchant wholesalers
HD02_VD45,Margin of Error; Male: - Wholesale trade: - Farm supplies merchant wholesalers
HD01_VD46,Estimate; Male: - Wholesale trade: - Miscellaneous nondurable goods merchant wholesalers
HD02_VD46,Margin of Error; Male: - Wholesale trade: - Miscellaneous nondurable goods merchant wholesalers
HD01_VD47,Estimate; Male: - Wholesale trade: - Wholesale electronic markets and agents and brokers
HD02_VD47,Margin of Error; Male: - Wholesale trade: - Wholesale electronic markets and agents and brokers
HD01_VD48,Estimate; Male: - Retail trade:
HD02_VD48,Margin of Error; Male: - Retail trade:
HD01_VD49,Estimate; Male: - Retail trade: - Motor vehicle and parts dealers
HD02_VD49,Margin of Error; Male: - Retail trade: - Motor vehicle and parts dealers
HD01_VD50,"Estimate; Male: - Retail trade: - Furniture and home furnishings, and household appliance stores"
HD02_VD50,"Margin of Error; Male: - Retail trade: - Furniture and home furnishings, and household appliance stores"
HD01_VD51,Estimate; Male: - Retail trade: - Electronics stores
HD02_VD51,Margin of Error; Male: - Retail trade: - Electronics stores
HD01_VD52,Estimate; Male: - Retail trade: - Building material and garden equipment and supplies dealers
HD02_VD52,Margin of Error; Male: - Retail trade: - Building material and garden equipment and supplies dealers
HD01_VD53,Estimate; Male: - Retail trade: - Food and beverage stores
HD02_VD53,Margin of Error; Male: - Retail trade: - Food and beverage stores
HD01_VD54,Estimate; Male: - Retail trade: - Pharmacies and drug stores
HD02_VD54,Margin of Error; Male: - Retail trade: - Pharmacies and drug stores
HD01_VD55,"Estimate; Male: - Retail trade: - Health and personal care, except drug, stores"
HD02_VD55,"Margin of Error; Male: - Retail trade: - Health and personal care, except drug, stores"
HD01_VD56,Estimate; Male: - Retail trade: - Gasoline stations
HD02_VD56,Margin of Error; Male: - Retail trade: - Gasoline stations
HD01_VD57,"Estimate; Male: - Retail trade: - Clothing and accessories, including shoe, stores"
HD02_VD57,"Margin of Error; Male: - Retail trade: - Clothing and accessories, including shoe, stores"
HD01_VD58,"Estimate; Male: - Retail trade: - Jewelry, luggage, and leather goods stores"
HD02_VD58,"Margin of Error; Male: - Retail trade: - Jewelry, luggage, and leather goods stores"
HD01_VD59,"Estimate; Male: - Retail trade: - Sporting goods, and hobby and toy stores"
HD02_VD59,"Margin of Error; Male: - Retail trade: - Sporting goods, and hobby and toy stores"
HD01_VD60,"Estimate; Male: - Retail trade: - Sewing, needlework, and piece goods stores"
HD02_VD60,"Margin of Error; Male: - Retail trade: - Sewing, needlework, and piece goods stores"
HD01_VD61,Estimate; Male: - Retail trade: - Musical instrument and supplies stores
HD02_VD61,Margin of Error; Male: - Retail trade: - Musical instrument and supplies stores
HD01_VD62,Estimate; Male: - Retail trade: - Book stores and news dealers
HD02_VD62,Margin of Error; Male: - Retail trade: - Book stores and news dealers
HD01_VD63,Estimate; Male: - Retail trade: - Department and other general merchandise stores
HD02_VD63,Margin of Error; Male: - Retail trade: - Department and other general merchandise stores
HD01_VD64,Estimate; Male: - Retail trade: - Retail florists
HD02_VD64,Margin of Error; Male: - Retail trade: - Retail florists
HD01_VD65,Estimate; Male: - Retail trade: - Office supplies and stationery stores
HD02_VD65,Margin of Error; Male: - Retail trade: - Office supplies and stationery stores
HD01_VD66,"Estimate; Male: - Retail trade: - Used merchandise, gift, novelty, and souvenir, and other miscellaneous stores"
HD02_VD66,"Margin of Error; Male: - Retail trade: - Used merchandise, gift, novelty, and souvenir, and other miscellaneous stores"
HD01_VD67,Estimate; Male: - Retail trade: - Electronic shopping and mail-order houses
HD02_VD67,Margin of Error; Male: - Retail trade: - Electronic shopping and mail-order houses
HD01_VD68,Estimate; Male: - Retail trade: - Vending machine operators
HD02_VD68,Margin of Error; Male: - Retail trade: - Vending machine operators
HD01_VD69,Estimate; Male: - Retail trade: - Fuel dealers
HD02_VD69,Margin of Error; Male: - Retail trade: - Fuel dealers
HD01_VD70,Estimate; Male: - Retail trade: - Other direct selling establishments
HD02_VD70,Margin of Error; Male: - Retail trade: - Other direct selling establishments
HD01_VD71,"Estimate; Male: - Transportation and warehousing, and utilities:"
HD02_VD71,"Margin of Error; Male: - Transportation and warehousing, and utilities:"
HD01_VD72,"Estimate; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing:"
HD02_VD72,"Margin of Error; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing:"
HD01_VD73,"Estimate; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Air transportation"
HD02_VD73,"Margin of Error; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Air transportation"
HD01_VD74,"Estimate; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Rail transportation"
HD02_VD74,"Margin of Error; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Rail transportation"
HD01_VD75,"Estimate; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Water transportation"
HD02_VD75,"Margin of Error; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Water transportation"
HD01_VD76,"Estimate; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Truck transportation"
