GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Income in the past 12 months below poverty level,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Income in the past 12 months below poverty level,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Income in the past 12 months at or above poverty level,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Income in the past 12 months at or above poverty level,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Income in the past 12 months below poverty level,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Income in the past 12 months below poverty level,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Income in the past 12 months at or above poverty level,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Income in the past 12 months at or above poverty level
0100000US,,United States,116211092,230463,15089358,23175,7818396,19061,7270962,15762,101121734,236324,8939760,21169,92181974,248632
